model_id,display_name,round,architecture,target,DrugMacro_AUC,DrugMacro_AUPRC,Global_AUC,Global_AUPRC,n_rows,mean_DrugMacro_AUC_5targets,mean_DrugMacro_AUPRC_5targets,mean_Global_AUC_5targets,mean_Global_AUPRC_5targets
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,aacdr_gdsc_intersect,0.6173277689066976,0.6467766174609212,0.6019736842105262,0.5239569851657095,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,aacdr_tcga_only,0.5391369047619048,0.6803940985852358,0.4181585677749361,0.46451806983364785,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,dapl,0.42839864546291767,0.4804228076333703,0.4632277834525026,0.47806782357821975,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,gdsc_intersect13,0.47141232286039436,0.5588939019822131,0.5506146936021257,0.5904498647619323,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,tcga_only3,0.45914445442747326,0.6634617772158723,0.3826203208556149,0.5657267273516708,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,gdsc_intersect13,0.47645987369895076,0.605500575636177,0.49515783813419934,0.6214128666145657,886,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,tcga_only3,0.5488403409855419,0.7031781873094388,0.5280748663101604,0.6948859868388361,129,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,dapl,0.5019936503320246,0.5519475609401938,0.5017875383043923,0.5047105295940781,177,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,aacdr_tcga_only,0.6038318452380953,0.6864322138677375,0.4914748508098892,0.4960095057222712,97,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,aacdr_gdsc_intersect,0.5409902447439826,0.6030497442881977,0.45261317629738673,0.5198592970083249,417,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
