split_seed,metric,model_a,model_b,delta
17,drug_macro_auc,biocda_xa_zc,pooled_baseline,0.030000000000000027
29,drug_macro_auc,biocda_xa_zc,pooled_baseline,0.030000000000000027
43,drug_macro_auc,biocda_xa_zc,pooled_baseline,0.030000000000000027
17,drug_macro_auc,biocda_xa_zc,biocda_xa_z,0.030000000000000027
29,drug_macro_auc,biocda_xa_zc,biocda_xa_z,0.030000000000000027
43,drug_macro_auc,biocda_xa_zc,biocda_xa_z,0.030000000000000027
17,drug_macro_auc,biocda_xa_z,pooled_baseline,0.0
29,drug_macro_auc,biocda_xa_z,pooled_baseline,0.0
43,drug_macro_auc,biocda_xa_z,pooled_baseline,0.0
17,drug_macro_auprc,biocda_xa_zc,pooled_baseline,0.0
29,drug_macro_auprc,biocda_xa_zc,pooled_baseline,0.0
43,drug_macro_auprc,biocda_xa_zc,pooled_baseline,0.0
17,drug_macro_auprc,biocda_xa_zc,biocda_xa_z,0.0
29,drug_macro_auprc,biocda_xa_zc,biocda_xa_z,0.0
43,drug_macro_auprc,biocda_xa_zc,biocda_xa_z,0.0
17,drug_macro_auprc,biocda_xa_z,pooled_baseline,0.0
29,drug_macro_auprc,biocda_xa_z,pooled_baseline,0.0
43,drug_macro_auprc,biocda_xa_z,pooled_baseline,0.0
17,sample_auc,biocda_xa_zc,pooled_baseline,0.0
29,sample_auc,biocda_xa_zc,pooled_baseline,0.0
43,sample_auc,biocda_xa_zc,pooled_baseline,0.0
17,sample_auc,biocda_xa_zc,biocda_xa_z,0.0
29,sample_auc,biocda_xa_zc,biocda_xa_z,0.0
43,sample_auc,biocda_xa_zc,biocda_xa_z,0.0
17,sample_auc,biocda_xa_z,pooled_baseline,0.0
29,sample_auc,biocda_xa_z,pooled_baseline,0.0
43,sample_auc,biocda_xa_z,pooled_baseline,0.0
17,brier,biocda_xa_zc,pooled_baseline,0.0
29,brier,biocda_xa_zc,pooled_baseline,0.0
43,brier,biocda_xa_zc,pooled_baseline,0.0
17,brier,biocda_xa_zc,biocda_xa_z,0.0
29,brier,biocda_xa_zc,biocda_xa_z,0.0
43,brier,biocda_xa_zc,biocda_xa_z,0.0
17,brier,biocda_xa_z,pooled_baseline,0.0
29,brier,biocda_xa_z,pooled_baseline,0.0
43,brier,biocda_xa_z,pooled_baseline,0.0
