model,seed,drug_macro_auc,drug_macro_auprc,sample_auc,sample_auprc,best_epoch
biocda_predictive,17,0.7556660952265563,0.4922064802871712,0.7074291851471266,0.3991986504419129,51
biocda_xa_fresh,17,0.7469854499611647,0.4831852423709475,0.6815214631262593,0.43336290044046705,14
biocda_xa_transfer,17,0.6843929745659885,0.4367670827378501,0.7353511633017528,0.5547223996807802,24
biocda_xa_kd,17,0.712653076008031,0.45640613404732083,0.765121981868773,0.5665255894803274,29
biocda_predictive,29,0.7082263915797861,0.4917238380998304,0.7581651102537267,0.5647032174663391,33
biocda_xa_fresh,29,0.7094821276508418,0.4885163747053471,0.6199836942503415,0.4298239250261916,10
biocda_xa_transfer,29,0.6830075006938306,0.4571300252404215,0.7946461144133781,0.6340115033171299,34
biocda_xa_kd,29,0.7000070414268111,0.4661872048992713,0.795971906155582,0.6268407373205382,28
biocda_predictive,43,0.7686743730602713,0.5508315325893107,0.696330649148734,0.4675860033566831,42
biocda_xa_fresh,43,0.7631933255893831,0.545483621933405,0.629116547084709,0.3753095457113227,18
biocda_xa_transfer,43,0.7286810418993382,0.5382856786375396,0.8238119175415561,0.6151996685727017,69
biocda_xa_kd,43,0.7459348438494284,0.547937710197642,0.8553934576033433,0.6764764392989929,27
