drug,n_samples,n_positive,n_negative,valid,status,AUC,AUPRC,model
Paclitaxel,141,95,46,True,ok,0.5846681922196796,0.7614721525408659,B0_r18_own_plus_summary
Cisplatin,221,170,51,True,ok,0.5356978085351788,0.8060665952425206,B0_r18_own_plus_summary
Methotrexate,14,7,7,True,ok,0.510204081632653,0.6295093795093796,B0_r18_own_plus_summary
Vinblastine,13,6,7,True,ok,0.45238095238095233,0.5746082621082621,B0_r18_own_plus_summary
Gemcitabine,139,69,70,True,ok,0.491304347826087,0.526070613518241,B0_r18_own_plus_summary
Docetaxel,85,55,30,True,ok,0.5927272727272728,0.7537580333254673,B0_r18_own_plus_summary
5-Fluorouracil,122,76,46,True,ok,0.5610697940503433,0.6786705916701572,B0_r18_own_plus_summary
Tamoxifen,18,11,7,True,ok,0.7662337662337662,0.8082726616817526,B0_r18_own_plus_summary
Vinorelbine,28,23,5,True,ok,0.6695652173913043,0.9144095240454688,B0_r18_own_plus_summary
Temozolomide,91,10,81,True,ok,0.5839506172839506,0.15491095789433293,B0_r18_own_plus_summary
Sorafenib,14,2,12,True,ok,0.20833333333333337,0.13247863247863248,B0_r18_own_plus_summary
Paclitaxel,141,95,46,True,ok,0.6235697940503433,0.7643379995273378,P0_r23
Cisplatin,221,170,51,True,ok,0.5265859284890426,0.7907552687373227,P0_r23
Methotrexate,14,7,7,True,ok,0.3469387755102041,0.4882696668410954,P0_r23
Vinblastine,13,6,7,True,ok,0.6071428571428572,0.6425315425315425,P0_r23
Gemcitabine,139,69,70,True,ok,0.44513457556935815,0.45624430940164706,P0_r23
Docetaxel,85,55,30,True,ok,0.4303030303030303,0.6005538947162986,P0_r23
5-Fluorouracil,122,76,46,True,ok,0.5443363844393592,0.6553555894242468,P0_r23
Tamoxifen,18,11,7,True,ok,0.6103896103896105,0.7367357686876403,P0_r23
Vinorelbine,28,23,5,True,ok,0.5652173913043479,0.8889230670442811,P0_r23
Temozolomide,91,10,81,True,ok,0.4839506172839506,0.15002687604053433,P0_r23
Sorafenib,14,2,12,True,ok,0.4583333333333333,0.18253968253968253,P0_r23
Paclitaxel,141,95,46,True,ok,0.5685354691075515,0.7317736726588492,X0_r23
Cisplatin,221,170,51,True,ok,0.45530565167243375,0.73598258790483,X0_r23
Methotrexate,14,7,7,True,ok,0.4693877551020408,0.6237571951857666,X0_r23
Vinblastine,13,6,7,True,ok,0.6190476190476191,0.698087098087098,X0_r23
Gemcitabine,139,69,70,True,ok,0.4346790890269151,0.4442364735595866,X0_r23
Docetaxel,85,55,30,True,ok,0.5118181818181818,0.6545816835002665,X0_r23
5-Fluorouracil,122,76,46,True,ok,0.5480549199084669,0.669945774809033,X0_r23
Tamoxifen,18,11,7,True,ok,0.5714285714285714,0.7523004773004773,X0_r23
Vinorelbine,28,23,5,True,ok,0.408695652173913,0.8240187392597601,X0_r23
Temozolomide,91,10,81,True,ok,0.5320987654320988,0.12816867454241918,X0_r23
Sorafenib,14,2,12,True,ok,0.16666666666666669,0.12692307692307692,X0_r23
