arm,target,fold_mean_DrugMacro_AUC,ctrl_auc,delta_vs_ctrl,gate,pass_gate
Ctrl,gdsc_intersect13,0.5297908817120343,0.5297908817120343,0.0,0.5184,True
Ctrl,tcga_only3,0.5437467717923009,0.5437467717923009,0.0,0.5586,False
Ctrl,dapl,0.5083555188352921,0.5083555188352921,0.0,0.5356,False
Ctrl,aacdr_gdsc_intersect,0.5284778596243094,0.5284778596243094,0.0,0.5582,False
Ctrl,aacdr_tcga_only,0.4860528273809524,0.4860528273809524,0.0,0.4394,True
NoHoldout,gdsc_intersect13,0.5696988634861493,0.5297908817120343,0.03990798177411503,0.5184,True
NoHoldout,tcga_only3,0.48449733279511786,0.5437467717923009,-0.059249438997183046,0.5586,False
NoHoldout,dapl,0.48201871852155403,0.5083555188352921,-0.02633680031373803,0.5356,False
NoHoldout,aacdr_gdsc_intersect,0.5648377832700193,0.5284778596243094,0.036359923645709946,0.5582,True
NoHoldout,aacdr_tcga_only,0.49707589285714276,0.4860528273809524,0.011023065476190363,0.4394,True
AACDR,gdsc_intersect13,0.473527142411005,0.5297908817120343,-0.056263739301029236,0.5184,False
AACDR,tcga_only3,0.4480049133863736,0.5437467717923009,-0.0957418584059273,0.5586,False
AACDR,dapl,0.5371166492612618,0.5083555188352921,0.028761130425969728,0.5356,True
AACDR,aacdr_gdsc_intersect,0.5062679760946209,0.5284778596243094,-0.022209883529688446,0.5582,False
AACDR,aacdr_tcga_only,0.49390625000000005,0.4860528273809524,0.007853422619047645,0.4394,True
