group,n,kmeans_ari_mean,kmeans_ari_median,fid_mean,fid_median,wasserstein_mean,wasserstein_median,collapse_rate,structure_pass_rate,deconfounding_pass_rate,stage1_pass_rate
lambda_proto_eq_0,12,0.7027242538454654,0.7302206464116301,26.403203928057092,25.23831990109752,0.6595714737971624,0.6386414468288422,0.0,0.9166666666666666,0.6666666666666666,0.5833333333333334
lambda_proto_gt_0,36,0.22456954720509367,0.21081494056336203,14.952600325959715,13.049693156527638,0.7994087926215596,0.7694369852542877,0.08333333333333333,0.0,0.4444444444444444,0.0
proto_not_effective_true,17,0.11693006798714013,0.09376671471346665,11.459124563550088,10.90330210258449,0.6577057049554937,0.6217162609100342,0.17647058823529413,0.0,0.7058823529411765,0.0
proto_not_effective_false,31,0.46868979321766363,0.4118502613221425,21.300869073899467,20.913789468466646,0.8229863624418935,0.754296064376831,0.0,0.3548387096774194,0.3870967741935484,0.22580645161290322
proto_direction_symmetric,48,0.34410822386518664,0.2963733080227813,17.81525122648406,15.613680935711848,0.7644494629154602,0.7012198567390442,0.0625,0.22916666666666666,0.5,0.14583333333333334
lambda_proto_0.0,12,0.7027242538454654,0.7302206464116301,26.403203928057092,25.23831990109752,0.6595714737971624,0.6386414468288422,0.0,0.9166666666666666,0.6666666666666666,0.5833333333333334
lambda_proto_0.002,12,0.22945076381852814,0.19815737344525372,15.85181003983699,14.550827422546064,0.760134885708491,0.7694369852542877,0.0,0.0,0.3333333333333333,0.0
lambda_proto_0.005,12,0.2113565827661418,0.17215486487679887,14.966404539404607,12.425633349990253,0.8335598632693291,0.9381258487701416,0.16666666666666666,0.0,0.4166666666666667,0.0
lambda_proto_0.01,12,0.232901295030611,0.2558876194605222,14.039586398637544,12.453761208603453,0.8045316288868586,0.663533627986908,0.08333333333333333,0.0,0.5833333333333334,0.0
proto_temperature_0.7,16,0.3687736157985292,0.3494765105177428,18.137126714798633,16.26074715653334,0.7666113805025816,0.7012198567390442,0.125,0.25,0.5,0.125
proto_temperature_1.0,16,0.340604733940931,0.2624182063371606,17.18949948257126,16.467675302582133,0.7569653652608395,0.6547542214393616,0.0,0.25,0.5625,0.25
proto_temperature_1.5,16,0.3229463218560996,0.29199055107339567,18.119127482082284,15.020929688924177,0.7697716429829597,0.7450347244739532,0.0625,0.1875,0.4375,0.0625
